x,y,psi,kappa,v
4.7,10.9484,-1.5708,2.5593,2.5
4.7,10.9454,-1.5867,5.3641,2.5
4.6999,10.9423,-1.603,5.6209,2.5
4.6997,10.9394,-1.6199,5.8893,2.5
4.6995,10.9364,-1.6374,6.1694,2.5
4.6993,10.9335,-1.6553,6.4611,2.5
4.699,10.9307,-1.6739,6.7645,2.5
4.6986,10.9279,-1.693,7.0792,2.5
4.6982,10.9252,-1.7127,7.405,2.5
4.6978,10.9225,-1.733,7.7414,2.5
4.6973,10.9199,-1.7539,8.0877,2.5
4.6968,10.9173,-1.7754,8.4431,2.5
4.6962,10.9147,-1.7976,8.8064,2.5
4.6956,10.9123,-1.8204,9.1763,2.5
4.6949,10.9098,-1.8438,9.5514,2.5
4.6941,10.9074,-1.8679,9.9296,2.5
4.6934,10.9051,-1.8925,10.309,2.5
4.6925,10.9028,-1.9179,10.6871,2.5
4.6917,10.9005,-1.9438,11.0614,2.5
4.6907,10.8983,-1.9703,11.4289,2.5
4.6897,10.8962,-1.9974,11.7866,2.5
4.6887,10.8941,-2.0251,12.1311,2.5
4.6876,10.892,-2.0533,12.4592,2.5
4.6865,10.89,-2.082,12.7673,2.5
4.6854,10.8881,-2.1112,13.052,2.5
4.6841,10.8862,-2.1408,13.3099,2.5
4.6829,10.8843,-2.1708,13.5378,2.5
4.6815,10.8825,-2.2012,13.7328,2.5
4.6802,10.8808,-2.2318,13.8921,2.5
4.6788,10.8791,-2.2627,14.0136,2.5
4.6773,10.8774,-2.2938,14.0957,2.5
4.6758,10.8758,-2.325,7.0685,2.5
4.6742,10.8742,-2.3562,7.0685,2.5
4.6727,10.8726,-2.325,14.0957,2.5
4.6712,10.8709,-2.2938,14.0136,2.5
4.6698,10.8692,-2.2627,13.8921,2.5
4.6685,10.8675,-2.2318,13.7328,2.5
4.6671,10.8657,-2.2012,13.5378,2.5
4.6659,10.8638,-2.1708,13.3099,2.5
